id,name,jenis,rayon_code,korlap,gps_lat,gps_lng
ad12255c-e963-5234-aee8-665c5decdc9d,Mayjend Sungkono Pulau 1,street,BARAT1,,-7.29227303,112.72593559
0b1c17eb-912c-5421-9ee1-cc7108261a54,Mayjend Sungkono Pulau 2,street,BARAT1,,-7.29192137,112.72144774
8777acc5-cc07-5e04-b95d-93474df56a15,Mayjend Sungkono Pulau 3,street,BARAT1,,-7.29103749,112.71570452
45a82d06-807e-571d-aa8d-b6f087ff8657,Mayjend Sungkono Pulau 4,street,BARAT1,,-7.28941483,112.71057626
608753c5-1531-5b45-89e9-194ec34679d1,Segitiga Mayjend Sungkono Jasa Marga,street,BARAT1,,-7.28844275,112.70500210
2fc49aa5-10f8-5191-8b4f-6514b12c71b5,Segitiga Mayjend Sungkono Pos Polisi Utara,street,BARAT1,,-7.28660966,112.70563043
e7e01899-33fb-59ab-b18a-f86acfa5db1b,Segitiga Mayjend Sungkono Pos Polisi Utara,street,BARAT1,,-7.28691837,112.70548047
2eaf6dc1-4fb9-5d80-a1a3-eeee0f2b58a9,Taman Underpass Mayjend Sisi Selatan,park,BARAT1,,-7.28826706,112.70593960
b5557fee-f334-5e50-bd96-cff5d9e69e7f,Taman Underpass Mayjend Sisi Selatan,park,BARAT1,,-7.28730587,112.70528088
2b42d411-ade2-5490-815f-2478cc9d0790,Taman Underpass Mayjend Sisi Utara,park,BARAT1,,-7.28762127,112.70618399
c63c118e-d03d-5353-9ac9-735c35786d03,Taman Underpass Mayjend Sisi Utara,park,BARAT1,,-7.28799423,112.70508617
2e7f1cea-5ce8-55ee-b854-3e5ce753e431,Tmp Mayjend Sungkono - Pulau Barat & Timur,street,BARAT1,,-7.28859447,112.70706889
7e8edad2-e99b-5f15-843c-185c0dc5785c,Tmp Mayjend Sungkono - Pulau Barat & Timur,street,BARAT1,,-7.28923214,112.70930390
e5b44981-fada-5105-8c39-d7f3d05a1ce5,Tmp Mayjend Sungkono - Pulau Barat & Timur,street,BARAT1,,-7.28859043,112.70745421
3babd851-9cc7-51f5-9ebe-06e48fc0259c,akses masuk stadion GBT,street,BARAT2,,-7.22268523,112.61851132
a5d74f2b-927b-5253-a349-ac9188cfada3,buffer zone,street,BARAT2,,-7.21795522,112.62490637
a62e8a25-4bee-502a-8ebc-e8004977307d,bundaran margomulyo,street,BARAT2,,-7.25804902,112.68034387
a19f760c-3bac-5222-a7a9-7b687131c82b,depan lobby stadion GBT,street,BARAT2,,-7.22283596,112.62170725
864541fc-1dda-57c9-ac18-bd27b7a9ddad,green belt tpa benowo,street,BARAT2,,-7.22124219,112.63210245
a00e5458-851f-52ec-8f16-ba3c1ceeea70,Jalur masuk GBT,street,BARAT2,,-7.22356635,112.61971130
50b34f67-fd43-5968-8e80-d45579ac9ed8,Jl. balongsari boxculvert,street,BARAT2,,-7.25847676,112.67932579
cec36efb-1d75-511e-871d-ecb0bf24c5c3,Jl. Buntaran,street,BARAT2,,-7.25808220,112.67478247
87334673-dc34-559c-8ca7-7ce130b36ad1,Jl. candi lontar,street,BARAT2,,-7.26907760,112.66958796
9b1e2154-91ff-5db4-ace5-730e058be5c0,Jl. Gedangasin Tandes,street,BARAT2,,-7.25891975,112.68269059
446dcd7b-83ea-5b34-b8d3-c00fe96a8ba8,Jl. jelidro depan kantor rayon taman Barat 2,street,BARAT2,,-7.26570208,112.65537284
21a55f15-051a-5a78-b58d-2f8eeee4d296,Jl. manukam tama pulau 7,street,BARAT2,,-7.26674651,112.66643403
